alpha,beta,gamma,style,x,y
.5,.5,.45,scatter,0.35,0.05102040816326531
.5,.5,.45,scatter,0.36,0.07
.5,.5,.45,scatter,0.37,0.05102040816326531
.5,.5,.45,scatter,0.38,0.11224489795918367
.5,.5,.45,scatter,0.39,0.1
.5,.5,.45,scatter,0.4,0.05
.5,.5,.45,scatter,0.41,0.15
.5,.5,.45,scatter,0.42,0.09
.5,.5,.45,scatter,0.43,0.08163265306122448
.5,.5,.45,scatter,0.44,0.08163265306122448
.5,.5,.45,scatter,0.45,0.1326530612244898
.5,.5,.45,scatter,0.46,0.11
.5,.5,.45,scatter,0.47,0.20408163265306123
.5,.5,.45,scatter,0.48,0.12
.5,.5,.45,scatter,0.49,0.15
.5,.5,.45,scatter,0.5,0.13541666666666666
.5,.5,.45,scatter,0.51,0.2
.5,.5,.45,scatter,0.52,0.2604166666666667
.5,.5,.45,scatter,0.53,0.20408163265306123
.5,.5,.45,scatter,0.54,0.17
.5,.5,.45,scatter,0.55,0.22
.5,.5,.45,scatter,0.56,0.23
.5,.5,.45,scatter,0.57,0.26
.5,.5,.45,scatter,0.58,0.29591836734693877
.5,.5,.45,scatter,0.59,0.41
.5,.5,.45,scatter,0.6,0.2653061224489796
.5,.5,.45,scatter,0.61,0.4
.5,.5,.45,scatter,0.62,0.28
.5,.5,.45,scatter,0.63,0.41836734693877553
.5,.5,.45,scatter,0.64,0.36
.5,.5,.45,scatter,0.65,0.445
.5,.5,.45,scatter,0.66,0.49
.5,.5,.45,scatter,0.67,0.45918367346938777
.5,.5,.45,scatter,0.68,0.5102040816326531
.5,.5,.45,scatter,0.69,0.5416666666666666
.5,.5,.45,scatter,0.7,0.55
.5,.5,.45,scatter,0.71,0.5204081632653061
.5,.5,.45,scatter,0.72,0.52
.5,.5,.45,scatter,0.73,0.5
.5,.5,.45,scatter,0.74,0.6530612244897959
.5,.5,.45,scatter,0.75,0.5816326530612245
.5,.5,.45,scatter,0.76,0.7142857142857143
.5,.5,.45,scatter,0.77,0.65
.5,.5,.45,scatter,0.78,0.67
.5,.5,.45,scatter,0.79,0.74
.5,.5,.45,scatter,0.8,0.59
.5,.5,.45,scatter,0.81,0.7551020408163265
.5,.5,.45,scatter,0.82,0.7604166666666666
.5,.5,.45,scatter,0.83,0.8
.5,.5,.45,scatter,0.84,0.71
