hys,dim,x,y
alpha-hys,1,0,72
alpha-hys,1,1,71
alpha-hys,1,2,62
alpha-hys,1,3,50
alpha-hys,1,4,0
alpha-hys,1,5,0
alpha-hys,1,6,0
alpha-hys,1,7,0
alpha-hys,1,8,0
alpha-hys,1,9,0
alpha-hys,1,10,0
hys,dim,x,y
alpha-hys,2,0,72
alpha-hys,2,1,71
alpha-hys,2,2,63
alpha-hys,2,3,51
alpha-hys,2,4,38
alpha-hys,2,5,28
alpha-hys,2,6,18
alpha-hys,2,7,7
alpha-hys,2,8,0
alpha-hys,2,9,0
alpha-hys,2,10,0
hys,dim,x,y
alpha-hys,4,0,74
alpha-hys,4,1,72
alpha-hys,4,2,63
alpha-hys,4,3,51
alpha-hys,4,4,40
alpha-hys,4,5,28
alpha-hys,4,6,18
alpha-hys,4,7,6
alpha-hys,4,8,0
alpha-hys,4,9,0
alpha-hys,4,10,0
hys,dim,x,y
alpha-hys,10,0,70
alpha-hys,10,1,72
alpha-hys,10,2,64
alpha-hys,10,3,51
alpha-hys,10,4,39
alpha-hys,10,5,30
alpha-hys,10,6,18
alpha-hys,10,7,6
alpha-hys,10,8,0
alpha-hys,10,9,0
alpha-hys,10,10,0
hys,dim,x,y
alpha-hys,20,0,74
alpha-hys,20,1,74
alpha-hys,20,2,63
alpha-hys,20,3,51
alpha-hys,20,4,41
alpha-hys,20,5,29
alpha-hys,20,6,17
alpha-hys,20,7,7
alpha-hys,20,8,0
alpha-hys,20,9,0
alpha-hys,20,10,0
