hys,dim,x,y
beta-hys,1,0,11
beta-hys,1,0,10
beta-hys,1,0,9
beta-hys,1,1,8
beta-hys,1,0,7
beta-hys,1,0,6
beta-hys,1,1,5
beta-hys,1,1,4
beta-hys,1,0,3
beta-hys,1,0,2
beta-hys,1,76,1
hys,dim,x,y
beta-hys,2,0,11
beta-hys,2,0,10
beta-hys,2,0,9
beta-hys,2,0,8
beta-hys,2,0,7
beta-hys,2,0,6
beta-hys,2,0,5
beta-hys,2,48,4
beta-hys,2,57,3
beta-hys,2,66,2
beta-hys,2,75,1
hys,dim,x,y
beta-hys,4,0,11
beta-hys,4,0,10
beta-hys,4,0,9
beta-hys,4,0,8
beta-hys,4,0,7
beta-hys,4,30,6
beta-hys,4,39,5
beta-hys,4,47,4
beta-hys,4,57,3
beta-hys,4,65,2
beta-hys,4,75,1
hys,dim,x,y
beta-hys,10,0,11
beta-hys,10,0,10
beta-hys,10,0,9
beta-hys,10,2,8
beta-hys,10,22,7
beta-hys,10,30,6
beta-hys,10,39,5
beta-hys,10,48,4
beta-hys,10,57,3
beta-hys,10,66,2
beta-hys,10,75,1
hys,dim,x,y
beta-hys,20,0,11
beta-hys,20,0,10
beta-hys,20,0,9
beta-hys,20,4,8
beta-hys,20,23,7
beta-hys,20,31,6
beta-hys,20,39,5
beta-hys,20,49,4
beta-hys,20,57,3
beta-hys,20,66,2
beta-hys,20,75,1
