alpha,beta,direction,x,y
0,0,->,0.0,0.9726117356999999
0,0,->,0.05,0.9621935741
0,0,->,0.1,0.9650600265000001
0,0,->,0.15,0.9782205234
0,0,->,0.2,0.9777474124
0,0,->,0.25,0.98265425
0,0,->,0.3,0.9506870061
0,0,->,0.35,0.9799176589
0,0,->,0.4,0.9881526948
0,0,->,0.45,0.9475899207999999
0,0,->,0.5,0.9786050744
0,0,->,0.55,0.9793965815000001
0,0,->,0.6,0.9758593159000001
0,0,->,0.65,0.9847337290000001
0,0,->,0.7,0.9714119901
0,0,->,0.75,0.9833030315000001
0,0,->,0.8,0.9904686802
0,0,->,0.85,0.9840116147
0,0,->,0.9,0.9767823303000001
0,0,->,0.95,0.9870816818000001
alpha,beta,direction,x,y
0,0,<-,0.0,0.9856010854
0,0,<-,0.05,0.9888419117
0,0,<-,0.1,0.9640432189
0,0,<-,0.15,0.9757959131
0,0,<-,0.2,0.9684097812000001
0,0,<-,0.25,0.9757613208
0,0,<-,0.3,0.9586147331
0,0,<-,0.35,0.9782589378000001
0,0,<-,0.4,0.9688870160999999
0,0,<-,0.45,0.970817873
0,0,<-,0.5,0.9703676017
0,0,<-,0.55,0.9745306208
0,0,<-,0.6,0.9787321458
0,0,<-,0.65,0.9800052134
0,0,<-,0.7,0.9695446121
0,0,<-,0.75,0.9722229563
0,0,<-,0.8,0.9622436163
0,0,<-,0.85,0.9695956781999999
0,0,<-,0.9,0.9658917445
0,0,<-,0.95,0.97527986
alpha,beta,direction,x,y
0,0.2,->,0.0,0.9912938711
0,0.2,->,0.05,0.9715835706999999
0,0.2,->,0.1,0.9808966743
0,0.2,->,0.15,0.9952481504
0,0.2,->,0.2,0.9898504033
0,0.2,->,0.25,0.9724982772
0,0.2,->,0.3,0.9849675638
0,0.2,->,0.35,0.971487923
0,0.2,->,0.4,0.9742785959999999
0,0.2,->,0.45,0.9119243627
0,0.2,->,0.5,0.9398796008
0,0.2,->,0.55,0.9601427161
0,0.2,->,0.6,0.9672970368000001
0,0.2,->,0.65,0.9353985544
0,0.2,->,0.7,0.9495057579
0,0.2,->,0.75,0.9488513573
0,0.2,->,0.8,0.9626560344
0,0.2,->,0.85,0.9620659369
0,0.2,->,0.9,0.9751564516
0,0.2,->,0.95,0.9761671192
alpha,beta,direction,x,y
