alpha, beta, gamma, style,x,y
.6,.6,0.25,scatter,0.35,0.5
.6,.6,0.25,scatter,0.36,0.65
.6,.6,0.25,scatter,0.37,0.7
.6,.6,0.25,scatter,0.38,0.9
.6,.6,0.25,scatter,0.39,0.9
.6,.6,0.25,scatter,0.4,0.925
.6,.6,0.25,scatter,0.41,1.0
.6,.6,0.25,scatter,0.42,0.95
.6,.6,0.25,scatter,0.43,1.0
.6,.6,0.25,scatter,0.44,0.95
.6,.6,0.25,scatter,0.45,1.0
.6,.6,0.25,scatter,0.5,1.0
.6,.6,0.25,scatter,0.55,1.0
.6,.6,0.25,scatter,0.6,1.0
.6,.6,0.25,scatter,0.65,1.0
.6,.6,0.25,scatter,0.7,1.0
.6,.6,0.25,scatter,0.75,1.0
.6,.6,0.25,scatter,0.8,1.0
.6,.6,0.25,scatter,0.85,1.0
.6,.6,0.25,scatter,0.9,1.0
.6,.6,0.25,scatter,0.95,1.0
.6,.6,0.25,fit,0.35,0.5025529023128249
.6,.6,0.25,fit,0.36,0.6310773412109671
.6,.6,0.25,fit,0.37,0.7510710118905222
.6,.6,0.25,fit,0.38,0.8447147901622358
.6,.6,0.25,fit,0.39,0.9080853581218831
.6,.6,0.25,fit,0.4,0.9469406822503557
.6,.6,0.25,fit,0.41,0.969340548354058
.6,.6,0.25,fit,0.42,0.9817973899121197
.6,.6,0.25,fit,0.43,0.9885864203179133
.6,.6,0.25,fit,0.44,0.9922458208627543
.6,.6,0.25,fit,0.45,0.9942065588554623
.6,.6,0.25,fit,0.5,0.9963522347648415
.6,.6,0.25,fit,0.55,0.996444042464393
.6,.6,0.25,fit,0.6,0.9964479604485377
.6,.6,0.25,fit,0.65,0.9964481276337647
.6,.6,0.25,fit,0.7,0.996448134767731
.6,.6,0.25,fit,0.75,0.9964481350721446
.6,.6,0.25,fit,0.8,0.9964481350851344
.6,.6,0.25,fit,0.85,0.9964481350856886
.6,.6,0.25,fit,0.9,0.9964481350857122
.6,.6,0.25,fit,0.95,0.9964481350857133
alpha, beta, gamma, style,x,y
.6,.6,0.38,scatter,0.35,0.0
.6,.6,0.38,scatter,0.4,0.0
.6,.6,0.38,scatter,0.45,0.0
.6,.6,0.38,scatter,0.5,0.0
.6,.6,0.38,scatter,0.55,0.0
.6,.6,0.38,scatter,0.6,0.0
.6,.6,0.38,scatter,0.65,0.0
.6,.6,0.38,scatter,0.7,0.0
.6,.6,0.38,scatter,0.71,0.0
.6,.6,0.38,scatter,0.72,0.0
.6,.6,0.38,scatter,0.73,0.0
.6,.6,0.38,scatter,0.74,0.1
.6,.6,0.38,scatter,0.75,0.225
.6,.6,0.38,scatter,0.76,0.2
.6,.6,0.38,scatter,0.77,0.6
.6,.6,0.38,scatter,0.78,0.65
.6,.6,0.38,scatter,0.79,0.75
