direction,x,y
->,0.04,0.7761089865
->,0.09,0.7812087518999999
->,0.16,1.0
->,0.23,1.0
->,0.11,0.7731174031999999
->,0.48,0.27983306329999996
->,0.24,1.0
->,0.8,0.0
->,0.18,0.9871170143000001
->,0.45,0.8146164742
->,0.15,0.8605663131
->,1.0,0.0
->,0.35,0.9991996797
->,0.14,0.8084166382
->,0.0,0.7769245237000001
->,0.17,0.9901515036
->,0.2,0.9836666102
->,0.25,0.9927738917
->,0.05,0.7902409295999999
->,0.47,0.5102936318
->,0.55,0.0
->,0.12,0.7780420817
->,0.46,0.6257795051
->,0.01,0.7794587355
->,0.5,0.0
->,0.22,0.9967948636
->,0.54,0.0
->,0.1,0.7762891689
->,0.02,0.7754624553
->,0.13,0.7833593842000001
->,0.21,0.9797958970999999
->,0.08,0.7681946478
->,0.49,0.19502572070000002
->,0.07,0.7724970847
->,0.19,0.9991996797
->,0.52,0.0
->,0.03,0.7681627518
->,0.53,0.0
->,0.51,0.0
->,0.55,0.0
->,0.45,0.9797958970999999
->,0.06,0.7667849521
direction,x,y
<-,0.16,0.9991996720999999
<-,0.04,0.905041025
<-,0.05,0.9303009351
<-,0.02,0.8003896663
<-,0.8,0.0
<-,0.11,0.9991446598999999
<-,0.07,0.9291466951
<-,0.53,0.0
<-,0.5,0.0
<-,0.18,0.99979998
<-,0.22,0.9967945169
<-,0.06,0.8966739862
<-,0.23,0.96
<-,0.13,0.9967948038
<-,0.35,0.0
<-,0.51,0.0
<-,0.24,0.46149739219999997
<-,0.55,0.0
<-,0.2,0.9836666102
<-,0.55,0.0
<-,0.03,0.8577518406
<-,0.1,0.9269083751999999
<-,0.12,0.9949766026000001
<-,0.09,0.9414529109
<-,0.45,0.0
<-,0.25,0.0
<-,0.47,0.0
<-,0.52,0.0
<-,0.14,0.9867280468999999
<-,0.48,0.0
<-,0.08,0.9179284521
<-,0.0,0.786943452
<-,1.0,0.0
<-,0.01,0.7892309801
<-,0.46,0.0
<-,0.54,0.0
<-,0.21,0.99979998
<-,0.15,0.9901514864000001
<-,0.19,0.9949874370999999
<-,0.45,0.0
<-,0.49,0.0
<-,0.17,0.9927738917
