x,y1,y2
1,0.7413751179,0.7345919512
0.9,0.746841267,0.8201284668
0.8,0.7352395968,0.7990956077
0.79,0.7441633555,0.8222375339
0.78,0.74229952,0.7943809297
0.77,0.732467262,0.8148866622
0.76,0.7244131063,0.7922691083
0.75,0.7218995705,0.7905546256
0.74,0.7492589214,0.80895481
0.73,0.7341111016,0.8388355983
0.72,0.7431986903,0.8511787623
0.71,0.7267702982,0.8816165375
0.7,0.8676153392,0.896561243
0.69,0.9965927149,0.9999057487
0.68,0.9980531638,0.9999718976
0.67,0.9981751214,0.9981983771
0.66,0.9991947746,0.9991996765
0.65,0.9991996797,0.9991996797
0.64,0.9991996797,0.9981983771
0.63,0.9991996797,0.7778562867
0.62,0.9991996797,0
0.61,0.9991996797,0
0.6,0.9991996797,0
0.5,0.9991996797,0
0.4,0.9799798678,0
0.3,0.9797958971,0
0.29,0.9797958971,0
0.28,0.9797958971,0
0.27,0.9797958971,0
0.26,0.9797958971,0
0.25,0.9797958971,0
0.24,0.9797958971,0
0.23,0.9797958971,0
0.22,4.91E-08,0
0.21,0,0
0.2,0,0
0.1,0,0
0,0,
