x,y1,y2
1,0.7548907135,0.7437314479
0.9,0.76314124,0.7781177338
0.8,0.774521023,0.771860618
0.7,0.76915568,0.7654582389
0.6,0.7625818744,0.7653942904
0.5,0.7893634325,0.7637617939
0.49,0.7754111714,0.7760608402
0.48,0.7696786267,0.7866865449
0.47,0.7703910415,0.7871425148
0.46,0.7864212922,0.9081318078
0.45,0.7766246344,0.961796806
0.44,0.978487156,0.9781124744
0.43,0.9790491165,0.0006247218
0.42,0.9797958575,0.0014298918
0.41,0.9797958971,0.0013727979
0.4,0.9797958971,1.754E-07
0.39,0.9797958971,0
0.38,0.9797958971,0
0.37,0.9797845246,0
0.36,0.979753413,0
0.35,0.960332424,0
0.34,0,0
0.33,0,0
0.32,0,0
0.3,0,0
0.2,0,0
0.1,0,0
0,0,0
,,0
