hys,direction,style,x,y
alpha-hys,->,scatter,0.27,0.22401435079999998
alpha-hys,->,scatter,0.9299999999999999,0.9949350151
alpha-hys,->,scatter,0.06000000000000005,0.045219874400000006
alpha-hys,->,scatter,0.050000000000000044,0.0394344148
alpha-hys,->,scatter,0.96,0.9944665319
alpha-hys,->,scatter,0.21999999999999997,0.1238993365
alpha-hys,->,scatter,0.18999999999999995,0.1494776291
alpha-hys,->,scatter,0.98,0.9892939685
alpha-hys,->,scatter,0.10999999999999999,0.028849214300000002
alpha-hys,->,scatter,0.18000000000000005,0.0896106282
alpha-hys,->,scatter,0.97,0.9889752367
alpha-hys,->,scatter,0.86,0.9966197253
alpha-hys,->,scatter,0.41000000000000003,1.0
alpha-hys,->,scatter,0.52,0.9999850308
alpha-hys,->,scatter,0.53,0.9999999959
alpha-hys,->,scatter,0.8,0.9999999426
alpha-hys,->,scatter,0.74,0.9999897045
alpha-hys,->,scatter,0.29000000000000004,0.9999990282
alpha-hys,->,scatter,0.45999999999999996,0.9999999997
alpha-hys,->,scatter,0.5900000000000001,0.9999812912
alpha-hys,->,scatter,0.18999999999999995,0.0934806104
alpha-hys,->,scatter,0.21999999999999997,0.1042672592
alpha-hys,->,scatter,0.21999999999999997,0.0719451471
alpha-hys,->,scatter,0.27,0.21396051649999998
alpha-hys,->,scatter,0.17000000000000004,0.07690890709999999
alpha-hys,->,scatter,0.49,1.0
alpha-hys,->,scatter,0.74,0.9999992722
alpha-hys,->,scatter,0.79,0.9921765203
alpha-hys,->,scatter,0.050000000000000044,0.0717968598
alpha-hys,->,scatter,0.55,1.0
alpha-hys,->,scatter,0.53,1.0
alpha-hys,->,scatter,0.5700000000000001,0.999999946
alpha-hys,->,scatter,0.71,0.9999991555
alpha-hys,->,scatter,0.16000000000000003,0.055468738899999995
alpha-hys,->,scatter,0.30000000000000004,0.997804232
alpha-hys,->,scatter,0.06999999999999995,0.027823415499999997
alpha-hys,->,scatter,0.10999999999999999,0.050115220499999995
alpha-hys,->,scatter,0.48,1.0
alpha-hys,->,scatter,0.19999999999999996,0.1212064216
alpha-hys,->,scatter,0.30000000000000004,0.9999999989
alpha-hys,->,scatter,0.5700000000000001,1.0
alpha-hys,->,scatter,0.48,1.0
alpha-hys,->,scatter,0.09999999999999998,0.0312825205
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.6799999999999999,0.9999795796
alpha-hys,->,scatter,0.5,1.0
alpha-hys,->,scatter,0.18000000000000005,0.0466967747
alpha-hys,->,scatter,0.5800000000000001,0.9992096362999999
alpha-hys,->,scatter,0.75,0.9999577304999999
alpha-hys,->,scatter,0.32999999999999996,0.9995197012
alpha-hys,->,scatter,0.31000000000000005,0.9999213911
alpha-hys,->,scatter,0.0,0.0578660384
alpha-hys,->,scatter,0.84,0.9998945408
alpha-hys,->,scatter,0.030000000000000027,0.0170575475
alpha-hys,->,scatter,0.79,0.9972967056
alpha-hys,->,scatter,0.74,0.9999098829999999
alpha-hys,->,scatter,0.64,0.9975300456
alpha-hys,->,scatter,0.8,0.9998536494
alpha-hys,->,scatter,0.51,0.9999978339
alpha-hys,->,scatter,0.18000000000000005,0.10480039460000001
alpha-hys,->,scatter,0.28,0.9999996293000001
alpha-hys,->,scatter,0.29000000000000004,0.9999999237999999
alpha-hys,->,scatter,0.76,0.9988928109999999
alpha-hys,->,scatter,0.74,0.9941497819
alpha-hys,->,scatter,0.30000000000000004,0.9999912084999999
alpha-hys,->,scatter,0.31999999999999995,1.0
alpha-hys,->,scatter,0.65,0.9999999954000001
alpha-hys,->,scatter,0.25,0.1576341845
alpha-hys,->,scatter,0.33999999999999997,0.999999272
alpha-hys,->,scatter,0.13,0.0699480796
alpha-hys,->,scatter,0.36,0.997812468
alpha-hys,->,scatter,0.69,0.9954709466
alpha-hys,->,scatter,0.77,0.9932953861
alpha-hys,->,scatter,0.24,0.1119623444
alpha-hys,->,scatter,0.5800000000000001,0.9962293992
alpha-hys,->,scatter,0.55,0.9970111618999999
alpha-hys,->,scatter,0.13,0.0643455187
alpha-hys,->,scatter,0.14,0.0447753746
alpha-hys,->,scatter,0.92,0.9950421685999999
alpha-hys,->,scatter,0.9,0.9944539365999999
alpha-hys,->,scatter,0.42000000000000004,0.9999999869
alpha-hys,->,scatter,0.43000000000000005,0.9999962036
alpha-hys,->,scatter,0.89,0.9969238592
alpha-hys,->,scatter,0.09999999999999998,0.0336931374
alpha-hys,->,scatter,0.44999999999999996,0.9999999339
alpha-hys,->,scatter,0.8,0.9988049442
alpha-hys,->,scatter,0.030000000000000027,0.028580666
alpha-hys,->,scatter,0.25,0.146260606
alpha-hys,->,scatter,0.8,0.9974225323999999
alpha-hys,->,scatter,0.64,1.0
alpha-hys,->,scatter,0.47,0.9999968986
alpha-hys,->,scatter,0.38,1.0
alpha-hys,->,scatter,0.88,0.9984051123000001
alpha-hys,->,scatter,0.20999999999999996,0.123017907
alpha-hys,->,scatter,0.08999999999999997,0.0327687031
alpha-hys,->,scatter,0.96,0.9874194176000001
