hys,direction,style,x,y
beta-hys,->,scatter,0.75,0.9999999271
beta-hys,->,scatter,0.95,0.9999976881
beta-hys,->,scatter,0.45,0.9996240848000001
beta-hys,->,scatter,0.5,0.9964736059999999
beta-hys,->,scatter,1.0,1.0
beta-hys,->,scatter,0.35,0.9999997799
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.45,0.9999999737
beta-hys,->,scatter,0.6,0.999999986
beta-hys,->,scatter,0.15,0.0095617089
beta-hys,->,scatter,0.55,0.9999999927
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.5,0.9999765643
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,1.0,0.9999904649
beta-hys,->,scatter,0.5,0.9999970136
beta-hys,->,scatter,0.0,4.808e-07
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.4,1.0
beta-hys,->,scatter,0.2,0.0485633843
beta-hys,->,scatter,0.7,0.9958484494
beta-hys,->,scatter,0.7,0.9999997046
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.15,0.0284882931
beta-hys,->,scatter,0.45,0.9999973062
beta-hys,->,scatter,0.9,0.9999209347
beta-hys,->,scatter,0.5,0.9999999995000001
beta-hys,->,scatter,0.3,0.9999999997
beta-hys,->,scatter,0.1,0.0139007248
beta-hys,->,scatter,0.25,0.0702506157
beta-hys,->,scatter,0.1,0.0044340117
beta-hys,->,scatter,0.45,0.9999997943000001
beta-hys,->,scatter,0.35,0.9999999994
beta-hys,->,scatter,0.05,0.004526281599999999
beta-hys,->,scatter,0.3,0.1321085965
beta-hys,->,scatter,0.0,2e-10
beta-hys,->,scatter,0.85,0.9983435626
beta-hys,->,scatter,0.0,0.0030368625
beta-hys,->,scatter,0.25,0.07107103570000001
beta-hys,->,scatter,0.3,0.9999986925
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.95,0.9995266629
beta-hys,->,scatter,1.0,0.9999999789
beta-hys,->,scatter,0.0,0.0004167646
beta-hys,->,scatter,0.6,0.9999992695000001
beta-hys,->,scatter,0.0,0.0003451922
beta-hys,->,scatter,0.5,0.9949074558
beta-hys,->,scatter,0.95,0.9999994640000001
beta-hys,->,scatter,0.5,0.9958566171
beta-hys,->,scatter,0.3,0.9999999998000001
beta-hys,->,scatter,0.8,0.9999424378
beta-hys,->,scatter,0.1,0.0117909792
beta-hys,->,scatter,0.6,0.9999937998999999
beta-hys,->,scatter,0.2,0.0409626854
beta-hys,->,scatter,0.55,1.0
beta-hys,->,scatter,0.35,0.9999999944
beta-hys,->,scatter,0.9,0.9999996476
beta-hys,->,scatter,0.3,0.1758282948
beta-hys,->,scatter,0.55,0.999994114
beta-hys,->,scatter,0.25,0.079910349
beta-hys,->,scatter,0.95,0.9998357915999999
beta-hys,->,scatter,0.35,0.9997982717
beta-hys,->,scatter,0.7,0.9999999722
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.2,0.0336976184
beta-hys,->,scatter,0.15,0.0242221883
beta-hys,->,scatter,0.9,0.9994652267
beta-hys,->,scatter,1.0,0.9999991331
beta-hys,->,scatter,0.95,0.9999999809000001
beta-hys,->,scatter,0.55,0.9994986178
beta-hys,->,scatter,0.65,0.9999999951
beta-hys,->,scatter,0.6,0.999993902
beta-hys,->,scatter,1.0,0.9996439579999999
beta-hys,->,scatter,0.15,0.011965403000000001
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.95,0.999999245
beta-hys,->,scatter,0.95,0.9997484265000001
beta-hys,->,scatter,0.3,0.1883418706
beta-hys,->,scatter,0.75,0.9999960326999999
beta-hys,->,scatter,0.0,3.1022e-06
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.45,1.0
beta-hys,->,scatter,0.9,0.9992966335
beta-hys,->,scatter,0.45,0.9994452604
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.6,0.9999999962
beta-hys,->,scatter,0.4,0.9999680779000001
beta-hys,->,scatter,0.2,0.0341144308
beta-hys,->,scatter,0.6,0.999999957
beta-hys,->,scatter,0.0,5.3e-09
beta-hys,->,scatter,0.2,0.0387352577
beta-hys,->,scatter,0.0,1.8919e-06
beta-hys,->,scatter,0.3,1.0
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.2,0.041585490600000004
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.05,0.0043088913
beta-hys,->,scatter,0.2,0.0690920659
beta-hys,->,scatter,0.05,0.0024288916
beta-hys,->,scatter,0.0,3.468e-06
beta-hys,->,scatter,0.05,0.000212837
beta-hys,->,scatter,0.25,0.083227379
beta-hys,->,scatter,0.65,0.9999999999
beta-hys,->,scatter,0.25,0.062029481500000004
beta-hys,->,scatter,0.7,0.9985884852
beta-hys,->,scatter,0.0,0.0016887176000000002
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.2,0.0207826393
beta-hys,->,scatter,0.3,0.173211036
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.5,0.9987596956
beta-hys,->,scatter,0.85,0.9999767079999999
beta-hys,->,scatter,0.1,0.0093078687
beta-hys,->,scatter,0.3,0.11211453240000001
beta-hys,->,scatter,0.7,0.9999999994
beta-hys,->,scatter,0.75,0.9998714522
beta-hys,->,scatter,0.1,0.0033452141999999996
beta-hys,->,scatter,0.4,0.9999983354
beta-hys,->,scatter,0.75,0.9998108637
beta-hys,->,scatter,0.65,0.9998638684000001
beta-hys,->,scatter,0.25,0.071967205
beta-hys,->,scatter,0.55,0.9986112947
beta-hys,->,scatter,0.5,0.9999980951999999
beta-hys,->,scatter,0.2,0.0419452254
beta-hys,->,scatter,0.5,0.998636234
beta-hys,->,scatter,0.45,0.9999999979
