hys,log_s,x,y
alpha-hys,10,0,75
alpha-hys,10,1,72
alpha-hys,10,2,72
alpha-hys,10,3,67
alpha-hys,10,4,64
alpha-hys,10,5,58
alpha-hys,10,6,52
alpha-hys,10,7,44
alpha-hys,10,8,41
alpha-hys,10,9,34
alpha-hys,10,10,29
alpha-hys,10,11,23
alpha-hys,10,12,18
alpha-hys,10,13,12
alpha-hys,10,14,7
alpha-hys,10,15,0
alpha-hys,10,16,0
alpha-hys,10,17,0
alpha-hys,10,18,0
alpha-hys,10,19,0
hys,log_s,x,y
alpha-hys,100,0,91
alpha-hys,100,1,85
alpha-hys,100,2,82
alpha-hys,100,3,74
alpha-hys,100,4,70
alpha-hys,100,5,67
alpha-hys,100,6,63
alpha-hys,100,7,56
alpha-hys,100,8,52
alpha-hys,100,9,49
alpha-hys,100,10,43
alpha-hys,100,11,38
alpha-hys,100,12,34
alpha-hys,100,13,29
alpha-hys,100,14,24
alpha-hys,100,15,19
alpha-hys,100,16,14
alpha-hys,100,17,11
alpha-hys,100,18,6
alpha-hys,100,19,0
