hys,log_s,x,y
beta-hys,10,0,20
beta-hys,10,0,19
beta-hys,10,0,18
beta-hys,10,0,17
beta-hys,10,0,16
beta-hys,10,0,15
beta-hys,10,0,14
beta-hys,10,16,13
beta-hys,10,23,12
beta-hys,10,26,11
beta-hys,10,30,10
beta-hys,10,35,9
beta-hys,10,39,8
beta-hys,10,43,7
beta-hys,10,48,6
beta-hys,10,53,5
beta-hys,10,57,4
beta-hys,10,61,3
beta-hys,10,66,2
beta-hys,10,71,1
hys,log_s,x,y
beta-hys,100,0,20
beta-hys,100,0,19
beta-hys,100,0,18
beta-hys,100,0,17
beta-hys,100,0,16
beta-hys,100,0,15
beta-hys,100,0,14
beta-hys,100,25,13
beta-hys,100,31,12
beta-hys,100,35,11
beta-hys,100,42,10
beta-hys,100,47,9
beta-hys,100,50,8
beta-hys,100,57,7
beta-hys,100,62,6
beta-hys,100,68,5
beta-hys,100,73,4
beta-hys,100,78,3
beta-hys,100,85,2
beta-hys,100,90,1
